produto-id;id-acabamento;id-cor;id-fabricante;produto-imagem;produto-marca;produto-nome;produto-nome-resumido
88541425;1;6;1;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_diacryl_tripla_acao_3_6l_branco_gelo_88541425_0001_600x600.jpg;Iquine;Tinta Acrílica Fosco Diacryl Tripla Ação Standard Branco Gelo 3.6L Iquine;Tinta Acrílica Fosco Diacryl Tripla Ação Bra...
88541355;1;15;1;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_diacryl_tripla_acao_3_6l_branco_neve_88541355_0001_600x600.jpg;Iquine;Tinta Acrílica Fosco Diacryl Tripla Ação Standard Branco Neve 3.6L Iquine;Tinta Acrílica Fosco Diacryl Tripla Ação Bra...
89749870;1;18;3;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosca_premium_decora_cascalho_18l_coral_89749870_0001_600x600.jpg;Coral;Tinta Acrílica Fosca Premium Decora Cascalho 18L Coral;Tinta Acrílica Fosca Premium Decora Cascalho...
87738245;1;11;4;https://cdn.leroymerlin.com.br/products/tinta_especifica_p__litoral_fosca_18l_palha_itaunas_87738245_0001.jpg_600x600.jpg;Sherwin Williams;Tinta para Litoral Fosco Litoral Premium Palha Itaunas 18L Sherwin Williams;Tinta para Litoral Fosco Litoral Premium Pal...
90319285;1;3;2;https://cdn.leroymerlin.com.br/products/base_a2_suv_fo_limpeza_total_16l_90319285_0001_600x600.jpg;Suvinil;Base A2 Fosco Limpeza Total 16L Suvinil;Base A2 Fosco Limpeza Total 16L
87085705;1;8;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_metalatex_marfim_3.6l_sherwin_williams_87085705_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Fosco Perfeito Metalatex Premium Marfim 3.6L Sherwin Williams;Tinta Acrílica Fosco Metalatex Marfim 3.6L S...
87949652;1;5;2;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_completo_premium_uva_verde_18l_suvinil_87949652_0001_600x600.jpg;Suvinil;Tinta Acrílica Fosco Completo Premium Uva Verde 18L Suvinil;Tinta Acrílica Fosco Completo Premium Uva Ve...
87224256;2;1;4;https://cdn.leroymerlin.com.br/products/tinta_para_litoral_acetinado_metalatex_perola_guaruja_3_60_l_sherwin_williams_87224256_0001.jpg_600x600.jpg;Sherwin Williams;Tinta para Litoral Acetinado Metalatex Pérola Guarujá 3.6L Sherwin Williams;Tinta para Litoral Acetinado Metalatex Pérol...
87640000;1;14;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_metalatex_eco_vermelha_rustico_3.6l__87640000_1a96_600x600.jpeg;Sherwin Williams;Tinta Acrílica Fosco Metalatex Eco Premium Vermelha Rústico 3.6L Sherwin Williams;Tinta Acrílica Fosco Metalatex Eco Vermelha...
87660454;1;15;3;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_protecao_sol_e_chuva_branco_3.6l_coral_87660454_0001_600x600.jpg;Coral;Tinta Acrílica Fosco Proteção Sol & Chuva Premium Branco 3.6L Coral;Tinta Acrílica Fosco Proteção Sol & Chuva Br...
87640035;1;5;4;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_metalatex_premium_verde_eco_18l__87640035_0001_600x600.jpg;Sherwin Williams;Tinta Acrílica Fosco Perfeito Metalatex Premium Verde Eco 18L Sherwin Williams;Tinta Acrílica Fosco Metalatex Premium Verde...
85438045;1;2;2;https://cdn.leroymerlin.com.br/products/tinta_acrilica_fosco_completo_premium_camurca_3.6l_suvinil_85438045_0001_600x600.jpg;Suvinil;Tinta Acrílica Fosco Completo Premium Camurça 3.6L Suvinil;Tinta Acrílica Fosco Completo Premium Camurç...
87109071;2;19;4;https://cdn.leroymerlin.com.br/products/tinta_para_litoral_acetinado__metalatex_amarelo_camburi_3_60_l_sherwin_williams_87109071_0001.jpg_600x600.jpg;Sherwin Williams;Tinta para Litoral Acetinado Metalatex Amarelo Camburi 3.6L Sherwin Williams;Tinta para Litoral Acetinado Metalatex Amare...
89706015;1;3;3;https://cdn.leroymerlin.com.br/products/tinta_acrilica_premium_impermeabilizante_fosco_protecao_sol_e_chuva_arquitetura_urbana_3.6l_coral_89706015_0001_600x600.jpg;Coral;Tinta Acrílica Premium Impermeabilizante Fosco Proteção Sol & Chuva Arquitetura Urbana 3.6L Coral;Tinta Acrílica Premium Impermeabilizante Fos...
89706036;1;14;3;https://cdn.leroymerlin.com.br/products/tinta_acrilica_premium_impermeabilizante_fosco_protecao_sol_e_chuva_cogumelo_japones_3.6l_coral_89706036_0001_600x600.jpg;Coral;Tinta Acrílica Premium Impermeabilizante Fosco Proteção Sol & Chuva Cogumelo Japonês 3.6L Coral;Tinta Acrílica Premium Impermeabilizante Fos...
